close_value,cv_diff_value,cv_diff_rate,cv_ma3_value,cv_ma4_value,cv_ma5_value,cv_ma3_rate,cv_ma4_rate,cv_ma5_rate,ud_3d,ud_4d,ud_5d,cv3d_diff_rate,cv4d_diff_rate,cv5d_diff_rate,cv_diff_rate_rate,Skhynix_cv_diff_value,samsung_cv_diff_value,kosdaq_diff_rate,predict_value
2015,15,0.75,2005,2005,2005,0.24958402699999999,0.187265918,0.0499002,0,0,0,0.002487562,0.0075,0.0075,1.247512438,-1500,-4000,0.25,0.0025890432589221746
2000,-10,-0.49751243799999995,2004,2004,2004,0.0,-0.124688279,-0.099700897,0,0,0,0.0075,0.0075,0.002487562,-0.997512438,-2500,-61000,-3.17,0.00124598405091092
2010,10,0.5,2006,2006,2006,0.0,0.0,0.0,0,0,0,0.0,-0.004975124,-0.004975124,0.5,2500,20000,0.6,0.0035170267219655216
2000,0,0.0,2006,2006,2006,-0.166112957,-0.12453300099999999,-0.04982561,0,0,0,0.0,0.0,0.0,0.49751243799999995,-500,20000,-0.19,-0.002040915991528891
2000,-10,-0.49751243799999995,2007,2007,2007,-0.165837479,-0.062227754,-0.049800797,-1,-1,0,-0.004975124,-0.004975124,-0.002493766,-0.49751243799999995,1400,22000,-0.16,-0.005013527159462683
2010,0,0.0,2008,2008,2008,0.082987552,0.062266500999999995,0.099700897,-1,0,0,-0.004975124,-0.002493766,-0.002493766,0.0,-3800,-102000,-2.92,-0.0013066070387139916
2010,0,0.0,2006,2006,2006,0.083056478,0.124688279,0.049875312000000005,0,0,0,0.002493766,0.002493766,0.005,-0.249376559,1600,-2000,-0.34,0.0021461401920532808
2010,5,0.249376559,2005,2005,2005,0.166389351,0.062383032000000005,0.0499002,0,0,0,0.002493766,0.005,0.002493766,0.249376559,-3600,-8000,-0.87,0.002871359174605459
2005,0,0.0,2004,2004,2004,0.0,0.0,-0.049875312000000005,0,0,0,0.005,0.002493766,0.002493766,-0.25,-2600,-43000,-1.54,0.0027383492852095515
2005,5,0.25,2005,2005,2005,0.0,-0.06234414,-0.099651221,0,0,0,0.0,0.0,-0.002487562,0.499376559,1800,-11000,0.82,0.0006222440861165524
2000,-5,-0.249376559,2007,2007,2007,-0.166112957,-0.18668326100000002,-0.149253731,0,0,0,0.0,-0.002487562,-0.0049627790000000005,-0.249376559,-100,-6000,0.11,-0.0006047988517821068
2005,0,0.0,2010,2010,2010,-0.165837479,-0.12430080800000001,0.0,-1,-1,-1,-0.004975124,-0.0074441690000000005,-0.0074441690000000005,0.24875621899999997,300,23000,0.35,-0.00337358718024916
2005,-5,-0.24875621899999997,2010,2010,2010,-0.165562914,0.0,-0.049726504000000005,-1,-1,0,-0.0049627790000000005,-0.0049627790000000005,0.0,-0.000617261,200,-5000,1.21,-0.004845042508122788
2010,-5,-0.24813895800000002,2011,2011,2011,0.082850041,0.0,0.0,-1,0,0,-0.0049627790000000005,0.0,-0.002487562,-0.24813895800000002,-400,10000,2.27,-0.0032684613033779897
2015,0,0.0,2011,2011,2011,0.08291874,0.062189055,0.04975124400000001,0,0,0,0.002493766,0.0,0.0,-0.498753117,100,8000,0.81,0.003852552454418401
2015,10,0.498753117,2010,2010,2010,0.082987552,0.062227754,0.049776008,0,0,0,0.002487562,0.002487562,0.002487562,0.7475093359999999,500,-4000,0.27,0.0022972628867137246
2005,-5,-0.24875621899999997,2009,2009,2009,-0.08291874,-0.062189055,0.199501247,0,0,0,0.002487562,0.002487562,0.002487562,-0.24875621899999997,1700,34000,0.41,-0.0008532859064871445
2010,0,0.0,2005,2005,2005,0.0,0.311915159,0.25,-1,-1,0,-0.002487562,-0.002487562,0.010075566999999999,0.0,-100,44000,-0.73,-0.0018250197845190996
2010,0,0.0,2000,2000,2000,0.416319734,0.31289111399999997,0.250626566,-1,0,0,0.0,0.012594458000000001,0.012594458000000001,0.0,1700,17000,-0.07,-0.0020772206044057384
2010,0,0.0,1995,1995,1995,0.418060201,0.313873195,0.301659125,0,0,0,0.012594458000000001,0.012594458000000001,0.012594458000000001,-1.259445844,700,40000,-0.96,0.00833259710634593
2010,25,1.259445844,1989,1989,1989,0.41981528100000004,0.378071834,0.35317860700000003,0,0,0,0.012594458000000001,0.012594458000000001,0.015151515,1.259445844,-1500,-10000,0.06,0.00862386732478626
