close_value,cv_diff_value,cv_diff_rate,cv_ma3_value,cv_ma4_value,cv_ma5_value,cv_ma3_rate,cv_ma4_rate,cv_ma5_rate,ud_3d,ud_4d,ud_5d,cv3d_diff_rate,cv4d_diff_rate,cv5d_diff_rate,cv_diff_rate_rate,Skhynix_cv_diff_value,samsung_cv_diff_value,kosdaq_diff_rate
2010,10,0.5,2009,2009,2009,-0.082987552,0,0,0,0,0,0,-0.00248139,0,0.997512438,-300,1000,0.48
2000,-10,-0.497512438,2009,2009,2009,-0.165700083,-0.124300808,-0.099453008,0,0,0,-0.00248139,0,0,-0.24937348,800,-21000,0.69
2010,-5,-0.248138958,2011,2011,2011,0,0,-0.099354198,0,0,0,-0.004975124,-0.004975124,-0.004975124,-0.496895177,300,1000,0.5
2015,5,0.248756219,2013,2013,2013,0.08291874,-0.062111801,0,0,0,0,0,0,-0.004950495,0.248756219,-4200,-98000,0.31
2010,0,0,2013,2013,2013,-0.165562914,-0.062073246,-0.099255583,0,0,0,0.002487562,-0.002475248,0,0,3200,31000,-1.02
2010,0,0,2015,2015,2015,-0.082712986,-0.12399256,0,-1,0,0,-0.004950495,-0.00248139,-0.004950495,0.495049505,0,10000,-1.56
2010,-10,-0.495049505,2015,2015,2015,-0.165152766,0,0.049652433,0,0,0,-0.00248139,-0.004950495,0,-0.743188463,2400,29000,-1.26
2020,5,0.248138958,2014,2014,2014,0.165425972,0.186335404,0.149179513,0,0,0,-0.004950495,0,0.002493766,0.49566371,1500,5000,-2.69
2015,-5,-0.247524752,2011,2011,2011,0.165700083,0.124378109,0.049751244,0,0,0,0.004975124,0.007481297,0.007481297,-0.74503719,-500,-18000,-0.76
2020,10,0.497512438,2010,2010,2010,0.249169435,0.124533001,0.149476831,0,0,0,0.004987531,0.004987531,0.002487562,0.248135879,2500,104000,0.09
2010,5,0.249376559,2007,2007,2007,0,0.062305296,-0.049800797,0,0,0,0.007481297,0.004975124,0.007481297,0.249376559,400,5000,0.04
2005,0,0,2008,2008,2008,0,-0.124455507,-0.149179513,0,0,0,0,0.002493766,-0.00248139,0.248756219,1100,34000,0.32
